DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0,0,0,0,0,0,0
2,1,2,0,0,0,0,0,0,0
3,2,3,0,0,0,0,0,0,0
4,3,4,0,0,0,0,0,0,0
5,4,5,0,0,0,0,0,0,0
6,5,6,0,0,0,0,0,0,0
7,6,7,0,0,0,0,0,0,0
8,7,8,0,0,0,0,0,0,0
9,8,9,0,0,0,0,0,0,0
10,9,10,0,0,0,0,0,0,0
11,10,11,0,0,0,0,0,0,0
12,11,12,0,0,0,0,0,0,0
13,12,13,0,0,0,0,0,0,0
14,13,14,0,0,0,0,0,0,0
15,14,15,0,0,0,0,0,0,0
16,15,16,0,0,0,0,0,0,0
17,16,17,0,0,0,0,0,0,0
18,17,18,0,0,0,0,0,0,0
19,18,19,0,0,0,0,0,0,0
20,19,20,0,0,0,0,0,0,0
21,20,21,0,0,0,0,0,0,0
22,21,22,0,0,0,0,0,0,0
23,22,23,0,0,0,0,0,0,0
24,23,24,0,0,0,0,0,0,0
25,24,25,0,0,0,0,0,0,0
26,25,26,0,0,0,0,0,0,0
27,26,27,0,0,0,0,0,0,0
28,27,28,0,0,0,0,0,0,0
29,28,29,0,0,0,0,0,0,0
30,29,30,0,0,0,0,0,0,0
31,30,31,0,0,0,0,0,0,0
32,31,32,0,0,0,0,0,0,0
33,32,33,0,0,0,0,0,0,0
34,33,34,0,0,0,0,0,0,0
35,34,35,0,0,0,0,0,0,0
36,35,36,0,0,0,0,0,0,0
37,36,37,0,0,0,0,0,0,0
38,37,38,0,0,0,0,0,0,0
39,38,39,0,0,0,0,0,0,0
40,39,40,0,0,0,0,0,0,0
41,40,41,0,0,0,0,0,0,0
42,41,42,0,0,0,0,0,0,0
43,42,43,0,0,0,0,0,0,0
44,43,44,0,0,0,0,0,0,0
45,44,45,0,0,0,0,0,0,0
46,45,46,0,0,0,0,0,0,0
47,46,47,0,0,0,0,0,0,0
48,47,48,0,0,0,0,0,0,0
49,48,49,0,0,0,0,0,0,0
50,49,50,0,0,0,0,0,0,0
51,50,51,0,0,0,0,0,0,0
52,51,52,0,0,0,0,0,0,0
53,52,53,0,0,0,0,0,0,0
54,53,54,0,0,0,0,0,0,0
55,54,55,0,0,0,0,0,0,0
56,55,56,0,0,0,0,0,0,0
57,56,57,0,0,0,0,0,0,0
58,57,58,0,0,0,0,0,0,0
59,58,59,0,0,0,0,0,0,0
60,59,60,0,0,0,0,0,0,0
61,60,61,0,0,0,0,0,0,0
62,61,62,0,0,0,0,0,0,0
63,62,63,0,0,0,0,0,0,0
64,63,64,0,0,0,0,0,0,0
65,64,65,0,0,0,0,0,0,0
